email,restaurant_id,number_of_guests,booking_date,booking_time,special_requests,booking_status,created,table_number
qgreen31@example.com,3,2,11/2/2025,18:30:00,Quiet corner if available,CONFIRMED,10/31/2025 11:55,2
rwilson15@example.com,2,5,11/2/2025,19:00:00,Allergy: no peanuts,CONFIRMED,10/31/2025 14:32,8
hbrown22@example.com,1,4,11/1/2025,18:00:00,,CONFIRMED,10/30/2025 14:12,2
jdavis01@example.com,2,2,11/1/2025,18:00:00,Window seat if possible,CONFIRMED,10/30/2025 12:10,1
jlee14@example.com,3,4,11/1/2025,19:30:00,Birthday dessert,CONFIRMED,10/30/2025 13:05,5
myoung35@example.com,2,3,11/1/2025,20:00:00,High chair needed,PENDING,10/31/2025 10:20,3
aperez33@example.com,1,5,10/31/2025,8:45:00,Anniversary,CONFIRMED,10/17/2025 19:11,17
mmiller42@example.com,2,2,10/30/2025,11:30:00,Anniversary,CONFIRMED,10/19/2025 0:41,4
ggreen45@example.com,2,8,10/23/2025,15:00:00,High chair,CONFIRMED,10/18/2025 8:05,20
lhill19@example.com,3,4,10/20/2025,22:00:00,Anniversary,CONFIRMED,9/29/2025 13:50,9
cbaker14@example.com,3,4,10/17/2025,17:30:00,Anniversary,CONFIRMED,10/12/2025 14:54,11
bcampbell17@example.com,3,3,10/16/2025,18:00:00,Window,SEATED,10/2/2025 6:52,11
mmiller42@example.com,3,8,10/8/2025,12:30:00,,CONFIRMED,9/25/2025 1:54,20
ssmith47@example.com,1,3,10/6/2025,18:00:00,High chair,SEATED,10/5/2025 18:32,14
mclark18@example.com,3,2,10/3/2025,9:00:00,Birthday,PENDING,9/5/2025 10:04,1
hmitchell20@example.com,3,2,9/29/2025,15:00:00,Window,CONFIRMED,9/12/2025 12:13,3
srobinson27@example.com,2,6,9/23/2025,22:45:00,Window,SEATED,8/30/2025 1:14,15
lhill19@example.com,1,6,9/21/2025,11:45:00,High chair,CANCELLED,9/17/2025 11:05,18
cclark44@example.com,1,5,9/17/2025,11:45:00,High chair,SEATED,8/31/2025 15:12,15
hthompson15@example.com,1,4,9/9/2025,8:00:00,Anniversary,CONFIRMED,8/12/2025 15:24,9
myoung32@example.com,1,6,9/5/2025,14:00:00,Birthday,CONFIRMED,8/31/2025 5:32,17
nflores22@example.com,2,2,9/3/2025,13:30:00,Anniversary,CANCELLED,8/25/2025 8:52,3
egreen21@example.com,2,4,9/1/2025,11:45:00,Birthday,SEATED,8/9/2025 3:53,8
abaker23@example.com,2,2,8/31/2025,20:30:00,Anniversary,CONFIRMED,8/12/2025 22:51,3
elee11@example.com,3,2,8/31/2025,22:15:00,High chair,CONFIRMED,8/11/2025 4:41,3
cclark44@example.com,2,7,8/31/2025,9:00:00,Window,CONFIRMED,8/12/2025 11:41,19
anelson37@example.com,1,3,8/26/2025,16:30:00,,SEATED,8/10/2025 16:17,14
tcarter28@example.com,3,2,8/20/2025,22:00:00,Birthday,CONFIRMED,8/3/2025 11:50,1
srobinson27@example.com,2,4,8/13/2025,8:00:00,Window,PENDING,7/17/2025 6:15,7
hthompson15@example.com,1,6,8/11/2025,13:15:00,Birthday,PENDING,8/5/2025 1:26,16
abaker43@example.com,3,8,8/9/2025,17:15:00,High chair,CONFIRMED,7/18/2025 12:47,20
hmitchell20@example.com,3,6,8/7/2025,15:00:00,Window,CONFIRMED,7/19/2025 9:37,15
ljackson31@example.com,2,8,8/1/2025,14:45:00,,CONFIRMED,7/18/2025 2:53,19
srobinson27@example.com,1,2,7/30/2025,19:15:00,Birthday,SEATED,7/10/2025 8:26,4
mclark18@example.com,1,2,7/28/2025,13:45:00,Anniversary,CONFIRMED,6/30/2025 21:52,2
myoung32@example.com,2,3,7/24/2025,10:15:00,Birthday,SEATED,7/6/2025 8:03,13
abaker43@example.com,2,4,7/17/2025,11:15:00,Birthday,CONFIRMED,6/22/2025 1:34,12
tcarter28@example.com,1,7,7/7/2025,22:15:00,Anniversary,SEATED,6/30/2025 7:08,20
myoung32@example.com,1,5,7/5/2025,9:45:00,Anniversary,SEATED,6/21/2025 6:23,15
egreen21@example.com,3,4,7/4/2025,8:00:00,Anniversary,PENDING,6/26/2025 14:54,7
rhall29@example.com,2,4,6/25/2025,11:30:00,,PENDING,6/23/2025 13:53,11
hmitchell20@example.com,2,2,6/22/2025,17:45:00,,SEATED,5/31/2025 3:33,4
bcampbell17@example.com,3,4,6/18/2025,8:45:00,Anniversary,CANCELLED,6/8/2025 17:20,8
ssanchez30@example.com,1,4,6/16/2025,17:15:00,High chair,CONFIRMED,6/2/2025 1:12,8
abaker43@example.com,2,2,6/11/2025,15:00:00,Birthday,SEATED,5/22/2025 20:56,3
ljackson31@example.com,1,5,6/4/2025,16:00:00,Window,CONFIRMED,5/8/2025 10:05,17
lwalker41@example.com,2,2,6/2/2025,12:45:00,High chair,SEATED,5/8/2025 18:03,3
ljackson31@example.com,2,2,5/28/2025,10:00:00,Anniversary,CONFIRMED,5/1/2025 20:25,5
ljackson26@example.com,3,4,5/27/2025,15:30:00,Anniversary,CONFIRMED,4/30/2025 18:30,12
rflores40@example.com,1,2,5/25/2025,13:30:00,,SEATED,5/9/2025 7:59,5
nflores36@example.com,1,4,5/25/2025,19:45:00,Birthday,CONFIRMED,4/28/2025 8:26,12
elee11@example.com,3,5,5/25/2025,22:30:00,Anniversary,SEATED,4/26/2025 22:12,17
abaker43@example.com,2,4,5/23/2025,18:45:00,Birthday,CONFIRMED,4/25/2025 4:54,11
aperez33@example.com,3,4,5/21/2025,20:00:00,Window,SEATED,5/7/2025 2:20,14
abaker43@example.com,1,4,5/17/2025,14:00:00,Anniversary,CONFIRMED,4/22/2025 1:40,11
mclark18@example.com,2,3,5/13/2025,11:30:00,High chair,CANCELLED,5/12/2025 6:09,12
cclark44@example.com,3,4,5/13/2025,20:00:00,Window,CONFIRMED,4/22/2025 23:58,12
jhall34@example.com,1,4,5/12/2025,17:30:00,,SEATED,5/7/2025 3:47,11
ssanchez30@example.com,2,7,5/8/2025,18:15:00,Window,SEATED,4/24/2025 22:57,19
hthompson15@example.com,2,4,4/29/2025,8:45:00,,SEATED,4/8/2025 10:42,12
srobinson27@example.com,3,5,4/22/2025,20:30:00,Window,CANCELLED,4/20/2025 4:49,17
sgreen49@example.com,3,4,4/21/2025,10:45:00,Anniversary,CONFIRMED,4/11/2025 19:26,9
asmith50@example.com,1,2,4/18/2025,11:30:00,,SEATED,3/27/2025 2:03,2
srobinson27@example.com,3,4,4/18/2025,19:45:00,Anniversary,CONFIRMED,4/14/2025 20:44,11
hthompson15@example.com,1,2,4/17/2025,11:30:00,Birthday,SEATED,3/25/2025 5:45,6
anelson37@example.com,2,5,4/15/2025,14:45:00,High chair,CONFIRMED,4/7/2025 2:03,15
ljackson26@example.com,3,8,4/14/2025,18:15:00,Window,PENDING,4/12/2025 22:16,20
nflores36@example.com,1,5,4/8/2025,19:45:00,,CONFIRMED,4/8/2025 18:25,16
ebrown25@example.com,2,2,4/3/2025,14:45:00,High chair,CONFIRMED,3/23/2025 10:55,1
ljackson26@example.com,3,8,4/2/2025,12:45:00,Window,PENDING,3/19/2025 17:47,19
cclark44@example.com,3,4,4/1/2025,18:45:00,Birthday,CONFIRMED,3/11/2025 22:03,9
dcarter12@example.com,2,6,3/24/2025,12:00:00,Anniversary,PENDING,2/24/2025 21:23,16
hmitchell20@example.com,1,2,3/21/2025,16:00:00,High chair,CONFIRMED,3/6/2025 2:01,4
nflores36@example.com,2,8,3/19/2025,22:00:00,,CANCELLED,2/19/2025 17:57,20
tcarter28@example.com,2,5,3/10/2025,15:30:00,,PENDING,2/24/2025 10:20,16
hthompson15@example.com,1,2,3/10/2025,16:15:00,Window,CONFIRMED,2/27/2025 0:44,1
anelson37@example.com,1,8,3/7/2025,16:00:00,,CONFIRMED,2/25/2025 3:34,19
ljackson26@example.com,2,3,3/1/2025,15:45:00,High chair,SEATED,2/18/2025 9:41,9
lhill19@example.com,2,2,2/25/2025,16:15:00,Anniversary,SEATED,2/5/2025 17:00,1
ssmith47@example.com,2,3,2/23/2025,11:15:00,Birthday,CANCELLED,2/16/2025 11:47,12
jhall34@example.com,1,8,2/16/2025,12:30:00,Window,CONFIRMED,2/12/2025 19:56,19
lhill39@example.com,1,3,2/6/2025,11:00:00,,SEATED,1/25/2025 9:31,7
edavis46@example.com,1,2,2/2/2025,10:30:00,,CONFIRMED,1/3/2025 15:17,6
elee11@example.com,2,2,1/27/2025,14:15:00,Anniversary,SEATED,1/19/2025 17:09,3
hmitchell20@example.com,1,3,1/26/2025,13:00:00,Window,CONFIRMED,1/7/2025 7:17,13
lhill19@example.com,2,2,1/26/2025,19:00:00,High chair,SEATED,12/29/2024 19:32,1
dcarter12@example.com,1,2,1/18/2025,21:45:00,Window,SEATED,1/5/2025 19:56,1
abaker43@example.com,1,2,1/12/2025,17:30:00,Window,PENDING,1/6/2025 11:39,2
tcarter28@example.com,3,8,1/12/2025,12:00:00,Birthday,CONFIRMED,12/22/2024 13:57,19
zramirez38@example.com,1,2,1/10/2025,14:30:00,Window,SEATED,1/10/2025 4:25,2
hmitchell20@example.com,3,6,1/4/2025,21:00:00,High chair,PENDING,1/3/2025 0:50,15
nflores22@example.com,2,6,12/29/2024,13:45:00,Anniversary,CONFIRMED,12/24/2024 17:53,17
ggreen45@example.com,3,8,12/28/2024,17:00:00,High chair,SEATED,12/10/2024 1:11,20
ljackson31@example.com,3,7,12/28/2024,11:30:00,Anniversary,SEATED,12/7/2024 8:27,20
ssanchez30@example.com,1,4,12/26/2024,13:15:00,,CANCELLED,11/27/2024 16:11,13
cbaker14@example.com,1,2,12/26/2024,9:30:00,Birthday,CONFIRMED,12/1/2024 4:16,6
egreen21@example.com,1,6,12/24/2024,11:45:00,Anniversary,SEATED,12/20/2024 23:54,18
hmitchell20@example.com,2,2,12/20/2024,21:00:00,High chair,CONFIRMED,12/17/2024 2:22,3
lhill39@example.com,2,3,12/12/2024,13:15:00,,CONFIRMED,11/17/2024 4:02,14
ljackson26@example.com,3,2,12/9/2024,13:45:00,Anniversary,SEATED,11/15/2024 8:43,4
sgreen49@example.com,1,4,12/5/2024,21:15:00,,CONFIRMED,11/10/2024 0:50,7
lwalker41@example.com,3,2,11/29/2024,21:15:00,Anniversary,CONFIRMED,11/10/2024 13:00,5
dcarter12@example.com,3,4,11/26/2024,11:15:00,Window,PENDING,11/22/2024 16:04,12
mmiller42@example.com,3,6,11/25/2024,9:15:00,Birthday,CONFIRMED,11/18/2024 8:37,17
emartinez13@example.com,2,4,11/23/2024,18:15:00,Anniversary,CONFIRMED,11/12/2024 5:59,12
hbaker24@example.com,3,8,11/22/2024,18:15:00,Anniversary,SEATED,11/8/2024 18:25,20
cbaker14@example.com,2,4,11/10/2024,15:15:00,Anniversary,CONFIRMED,11/9/2024 6:15,14
srobinson27@example.com,2,3,11/7/2024,11:30:00,High chair,SEATED,10/10/2024 4:08,7
egreen21@example.com,1,6,11/6/2024,9:45:00,Window,CONFIRMED,10/10/2024 9:22,16
mclark18@example.com,1,4,11/1/2024,19:30:00,Anniversary,CONFIRMED,10/13/2024 9:59,9
ssmith47@example.com,3,2,11/1/2024,11:00:00,Window,SEATED,10/15/2024 1:09,4
edavis46@example.com,1,4,10/27/2024,18:00:00,High chair,SEATED,10/1/2024 10:37,10
jhall34@example.com,2,2,10/23/2024,15:30:00,Window,SEATED,10/11/2024 12:51,4
ssmith47@example.com,3,7,10/22/2024,11:45:00,Anniversary,CONFIRMED,9/27/2024 13:45,19
lhill39@example.com,2,4,10/19/2024,15:45:00,Anniversary,CONFIRMED,10/18/2024 9:54,10
hbaker24@example.com,3,3,10/17/2024,22:30:00,Anniversary,CONFIRMED,10/1/2024 20:27,14
egreen21@example.com,2,4,10/15/2024,17:30:00,Birthday,CONFIRMED,9/25/2024 21:48,13
aperez33@example.com,3,4,10/15/2024,8:45:00,Window,CANCELLED,9/28/2024 21:21,8
tcarter28@example.com,1,4,10/13/2024,15:45:00,Window,SEATED,9/27/2024 1:34,11
lhill39@example.com,2,3,10/10/2024,22:45:00,Anniversary,CONFIRMED,10/10/2024 11:04,8
hthompson15@example.com,3,8,10/6/2024,17:15:00,,PENDING,9/11/2024 13:22,19
cclark44@example.com,1,2,9/28/2024,12:30:00,Window,CANCELLED,9/9/2024 14:49,3
lhill19@example.com,1,4,9/25/2024,18:45:00,Window,CONFIRMED,9/15/2024 23:02,11
lhill19@example.com,1,2,9/24/2024,18:00:00,High chair,SEATED,9/19/2024 12:48,3
cbaker14@example.com,3,5,9/21/2024,19:15:00,Birthday,CONFIRMED,8/26/2024 18:54,17
aperez33@example.com,2,6,9/20/2024,16:45:00,Birthday,CONFIRMED,9/10/2024 11:57,17
ssmith47@example.com,2,6,9/19/2024,13:00:00,,SEATED,9/10/2024 13:20,16
aperez33@example.com,3,6,9/16/2024,10:30:00,,CONFIRMED,8/29/2024 10:08,17
hbaker24@example.com,2,3,9/4/2024,15:45:00,High chair,CANCELLED,8/28/2024 19:37,9
ssmith47@example.com,1,4,9/2/2024,14:00:00,Anniversary,PENDING,8/22/2024 17:14,7
rflores40@example.com,1,4,9/1/2024,20:45:00,Window,CONFIRMED,8/19/2024 10:01,9
anelson37@example.com,3,6,9/1/2024,12:15:00,Window,CONFIRMED,8/14/2024 7:05,18
hbaker24@example.com,3,6,8/31/2024,9:45:00,Window,CONFIRMED,8/20/2024 21:28,15
ggreen45@example.com,1,4,8/31/2024,22:45:00,Birthday,CONFIRMED,8/25/2024 6:47,14
cbaker14@example.com,3,8,8/30/2024,10:45:00,High chair,CANCELLED,8/3/2024 9:38,19
sgreen49@example.com,3,4,8/27/2024,10:15:00,Window,CONFIRMED,8/5/2024 5:05,8
cbaker14@example.com,1,7,8/27/2024,13:00:00,,CONFIRMED,7/28/2024 13:17,19
elee11@example.com,3,4,8/21/2024,13:45:00,,SEATED,8/12/2024 13:08,8
ljackson31@example.com,3,6,8/20/2024,14:00:00,Birthday,CONFIRMED,7/25/2024 8:12,16
awalker16@example.com,1,6,8/16/2024,18:00:00,Window,CONFIRMED,7/22/2024 18:43,17
anelson37@example.com,1,4,8/15/2024,17:45:00,Anniversary,CONFIRMED,8/4/2024 7:33,7
hbaker24@example.com,3,5,8/15/2024,21:00:00,High chair,SEATED,7/28/2024 16:49,15
hthompson15@example.com,2,4,8/7/2024,15:00:00,High chair,CANCELLED,7/23/2024 16:24,11
mmiller42@example.com,3,7,8/6/2024,9:30:00,Window,CONFIRMED,7/23/2024 20:01,20
ssanchez30@example.com,2,3,7/31/2024,10:00:00,Anniversary,CANCELLED,7/15/2024 23:11,8
ljackson31@example.com,1,5,7/31/2024,19:15:00,Birthday,CANCELLED,7/20/2024 7:30,18
ntaylor35@example.com,3,4,7/30/2024,10:45:00,Anniversary,CONFIRMED,7/5/2024 14:27,7
anelson37@example.com,3,5,7/27/2024,9:45:00,Anniversary,CANCELLED,7/4/2024 21:40,17
tcarter28@example.com,1,2,7/26/2024,14:30:00,Anniversary,SEATED,7/6/2024 14:27,4
sgreen49@example.com,3,4,7/20/2024,8:15:00,Birthday,CONFIRMED,7/20/2024 2:45,8
anelson37@example.com,2,4,7/13/2024,19:15:00,Birthday,CONFIRMED,6/25/2024 0:39,11
tcarter28@example.com,1,5,7/9/2024,19:00:00,Window,PENDING,6/20/2024 17:04,18
myoung32@example.com,3,6,6/26/2024,9:30:00,Birthday,SEATED,5/30/2024 15:04,16
dcarter12@example.com,3,8,6/26/2024,13:45:00,High chair,CONFIRMED,6/8/2024 0:44,20
hmitchell20@example.com,3,4,6/25/2024,20:45:00,,SEATED,6/15/2024 4:44,8
cbaker14@example.com,1,6,6/24/2024,21:45:00,Birthday,SEATED,6/6/2024 20:29,18
ssmith47@example.com,2,5,6/24/2024,14:00:00,Window,CONFIRMED,6/11/2024 21:12,16
lhill19@example.com,1,2,6/22/2024,12:45:00,Anniversary,CONFIRMED,5/29/2024 9:43,6
abaker43@example.com,1,4,6/18/2024,19:30:00,Window,SEATED,6/14/2024 1:41,8
dcarter12@example.com,2,4,6/17/2024,22:45:00,Window,CONFIRMED,5/21/2024 20:00,11
jhall34@example.com,1,3,6/17/2024,11:30:00,Birthday,CONFIRMED,5/26/2024 5:43,10
abaker23@example.com,1,3,6/14/2024,11:15:00,Window,SEATED,5/20/2024 21:39,10
cbaker14@example.com,2,7,6/11/2024,14:15:00,Window,CONFIRMED,5/29/2024 6:37,20
elee11@example.com,2,4,6/9/2024,21:45:00,Anniversary,CONFIRMED,5/11/2024 15:42,7
cclark44@example.com,2,6,6/5/2024,15:00:00,Birthday,CONFIRMED,5/17/2024 7:46,18
abaker43@example.com,1,2,6/4/2024,17:15:00,Window,PENDING,5/11/2024 16:33,1
zramirez38@example.com,2,7,5/26/2024,14:00:00,High chair,SEATED,5/11/2024 17:34,19
ebrown25@example.com,1,3,5/20/2024,15:30:00,,CONFIRMED,5/10/2024 19:58,12
ssmith47@example.com,1,4,5/20/2024,10:30:00,Anniversary,SEATED,4/27/2024 9:45,10
dcarter12@example.com,3,2,5/18/2024,17:30:00,,CONFIRMED,4/28/2024 14:05,5
lhill39@example.com,1,4,5/13/2024,21:45:00,Window,SEATED,4/20/2024 5:10,8
twilson48@example.com,3,3,5/13/2024,17:45:00,High chair,CONFIRMED,4/26/2024 8:14,8
