email,customer_name,customer_phone_number,party_size,queue_position,status,estimated_wait_time,arrived_at,seated_at,host_email,special_requests,created
egreen21@example.com,,,6,,WAITING,39 min,2024-09-16 11:30:00,,mjohnson02@example.com,Allergy,2024-09-16 11:30:00
asmith50@example.com,,,4,,WAITING,58 min,2025-01-05 22:30:00,,athompson04@example.com,,2025-01-05 22:30:00
ljackson31@example.com,,,2,,WAITING,29 min,2024-11-09 15:00:00,,athompson04@example.com,Allergy,2024-11-09 15:00:00
jhall34@example.com,,,3,,NOTIFIED,21 min,2025-10-13 18:30:00,,mjohnson02@example.com,,2025-10-13 18:30:00
tcarter28@example.com,,,3,,CANCELLED,43 min,2025-04-03 16:00:00,,lgonzalez03@example.com,,2025-04-03 16:00:00
elee11@example.com,,,6,,WAITING,42 min,2024-11-03 14:00:00,,jgonzalez05@example.com,Quiet,2024-11-03 14:00:00
hmitchell20@example.com,,,4,,CANCELLED,14 min,2024-12-09 22:45:00,,mjohnson02@example.com,,2024-12-09 22:45:00
sgreen49@example.com,,,5,,NOTIFIED,59 min,2024-07-18 22:45:00,,jgonzalez05@example.com,Booth,2024-07-18 22:45:00
awalker16@example.com,,,2,,SEATED,55 min,2024-06-30 14:15:00,2024-06-30 14:33:00,lgonzalez03@example.com,,2024-06-30 14:15:00
myoung32@example.com,,,4,,SEATED,30 min,2024-07-09 12:30:00,2024-07-09 13:02:00,mjohnson02@example.com,,2024-07-09 12:30:00
abaker23@example.com,,,2,,WAITING,46 min,2025-08-22 22:45:00,,lwilson01@example.com,,2025-08-22 22:45:00
lwalker41@example.com,,,3,,SEATED,16 min,2025-09-28 11:00:00,2025-09-28 12:29:00,jgonzalez05@example.com,Booth,2025-09-28 11:00:00
mclark18@example.com,,,3,,SEATED,26 min,2025-04-29 22:15:00,2025-04-29 23:30:00,jgonzalez05@example.com,Booth,2025-04-29 22:15:00
mclark18@example.com,,,3,,NOTIFIED,51 min,2024-10-28 17:15:00,,lwilson01@example.com,Quiet,2024-10-28 17:15:00
srobinson27@example.com,,,6,,SEATED,53 min,2025-07-27 09:30:00,2025-07-27 11:00:00,jgonzalez05@example.com,Quiet,2025-07-27 09:30:00
cbaker14@example.com,,,2,,SEATED,36 min,2025-06-28 15:00:00,2025-06-28 16:12:00,lgonzalez03@example.com,Quiet,2025-06-28 15:00:00
tcarter28@example.com,,,4,,NOTIFIED,47 min,2025-07-03 17:00:00,,jgonzalez05@example.com,Quiet,2025-07-03 17:00:00
egreen21@example.com,,,3,,WAITING,42 min,2024-08-12 10:00:00,,jgonzalez05@example.com,,2024-08-12 10:00:00
sgreen49@example.com,,,5,,WAITING,46 min,2025-09-20 21:30:00,,mjohnson02@example.com,Booth,2025-09-20 21:30:00
egreen21@example.com,,,5,,WAITING,47 min,2025-10-10 16:45:00,,jgonzalez05@example.com,,2025-10-10 16:45:00
ggreen45@example.com,,,3,,NOTIFIED,50 min,2025-03-31 11:45:00,,jgonzalez05@example.com,Allergy,2025-03-31 11:45:00
aperez33@example.com,,,5,,WAITING,41 min,2025-03-17 13:30:00,,lgonzalez03@example.com,Booth,2025-03-17 13:30:00
lhill39@example.com,,,2,,WAITING,27 min,2025-09-11 18:15:00,,lwilson01@example.com,Allergy,2025-09-11 18:15:00
asmith50@example.com,,,6,,WAITING,15 min,2024-09-07 16:45:00,,lwilson01@example.com,Allergy,2024-09-07 16:45:00
ssanchez30@example.com,,,2,,WAITING,44 min,2025-01-06 18:00:00,,jgonzalez05@example.com,Quiet,2025-01-06 18:00:00
,,,2,,SEATED,23 min,2025-05-30 09:15:00,2025-05-30 10:34:00,lwilson01@example.com,Quiet,2025-05-30 09:15:00
ssanchez30@example.com,,,3,,WAITING,27 min,2025-07-16 13:15:00,,lwilson01@example.com,,2025-07-16 13:15:00
ssmith47@example.com,,,2,,SEATED,21 min,2025-05-17 16:15:00,2025-05-17 16:33:00,mjohnson02@example.com,,2025-05-17 16:15:00
myoung32@example.com,,,4,,WAITING,50 min,2025-01-22 20:30:00,,athompson04@example.com,Booth,2025-01-22 20:30:00
twilson48@example.com,,,5,,SEATED,14 min,2025-01-26 20:30:00,2025-01-26 20:54:00,lgonzalez03@example.com,Quiet,2025-01-26 20:30:00
aperez33@example.com,,,4,,SEATED,39 min,2024-12-17 09:45:00,2024-12-17 10:29:00,jgonzalez05@example.com,Booth,2024-12-17 09:45:00
lwalker41@example.com,,,4,,WAITING,26 min,2025-03-02 18:15:00,,jgonzalez05@example.com,,2025-03-02 18:15:00
hmitchell20@example.com,,,5,,WAITING,48 min,2024-08-07 09:15:00,,lgonzalez03@example.com,Quiet,2024-08-07 09:15:00
tcarter28@example.com,,,4,,WAITING,58 min,2024-09-25 10:30:00,,lwilson01@example.com,Booth,2024-09-25 10:30:00
cclark44@example.com,,,2,,WAITING,21 min,2024-08-07 22:45:00,,lwilson01@example.com,Allergy,2024-08-07 22:45:00
twilson48@example.com,,,5,,WAITING,13 min,2024-12-02 21:45:00,,lwilson01@example.com,,2024-12-02 21:45:00
hmitchell20@example.com,,,6,,WAITING,39 min,2025-03-28 10:30:00,,lwilson01@example.com,Booth,2025-03-28 10:30:00
dcarter12@example.com,,,4,,NOTIFIED,56 min,2024-10-06 14:45:00,,mjohnson02@example.com,Quiet,2024-10-06 14:45:00
